phase_rad,phase_pi,T_bar
0.000000,0.000000,0.000925
0.031574,0.010050,0.001107
0.063148,0.020101,0.002346
0.094721,0.030151,0.004809
0.126295,0.040201,0.004589
0.157869,0.050251,0.006749
0.189443,0.060302,0.013052
0.221017,0.070352,0.014788
0.252590,0.080402,0.015599
0.284164,0.090452,0.022480
0.315738,0.100503,0.024174
0.347312,0.110553,0.029161
0.378886,0.120603,0.037225
0.410459,0.130653,0.035100
0.442033,0.140704,0.041809
0.473607,0.150754,0.053347
0.505181,0.160804,0.058487
0.536755,0.170854,0.072757
0.568328,0.180905,0.074608
0.599902,0.190955,0.080317
0.631476,0.201005,0.106041
0.663050,0.211055,0.105350
0.694624,0.221106,0.117069
0.726197,0.231156,0.117623
0.757771,0.241206,0.133862
0.789345,0.251256,0.149384
0.820919,0.261307,0.151643
0.852492,0.271357,0.174510
0.884066,0.281407,0.179094
0.915640,0.291457,0.193758
0.947214,0.301508,0.203860
0.978788,0.311558,0.237208
1.010361,0.321608,0.234774
1.041935,0.331658,0.239311
1.073509,0.341709,0.269371
1.105083,0.351759,0.265265
1.136657,0.361809,0.292190
1.168230,0.371859,0.286849
1.199804,0.381910,0.307011
1.231378,0.391960,0.335953
1.262952,0.402010,0.356096
1.294526,0.412060,0.365799
1.326099,0.422111,0.378269
1.357673,0.432161,0.391811
1.389247,0.442211,0.395727
1.420821,0.452261,0.418665
1.452395,0.462312,0.436829
1.483968,0.472362,0.467614
1.515542,0.482412,0.476243
1.547116,0.492462,0.470976
1.578690,0.502513,0.507580
1.610264,0.512563,0.516264
1.641837,0.522613,0.529107
1.673411,0.532663,0.557641
1.704985,0.542714,0.577418
1.736559,0.552764,0.591981
1.768133,0.562814,0.590096
1.799706,0.572864,0.610734
1.831280,0.582915,0.632240
1.862854,0.592965,0.653523
1.894428,0.603015,0.654701
1.926002,0.613065,0.672377
1.957575,0.623116,0.678534
1.989149,0.633166,0.692348
2.020723,0.643216,0.724913
2.052297,0.653266,0.743645
2.083871,0.663317,0.744956
2.115444,0.673367,0.767721
2.147018,0.683417,0.775580
2.178592,0.693467,0.780330
2.210166,0.703518,0.801336
2.241739,0.713568,0.822837
2.273313,0.723618,0.822874
2.304887,0.733668,0.846460
2.336461,0.743719,0.827228
2.368035,0.753769,0.863445
2.399608,0.763819,0.869183
2.431182,0.773869,0.877113
2.462756,0.783920,0.889738
2.494330,0.793970,0.886585
2.525904,0.804020,0.906908
2.557477,0.814070,0.919040
2.589051,0.824121,0.933133
2.620625,0.834171,0.931035
2.652199,0.844221,0.937413
2.683773,0.854271,0.946222
2.715346,0.864322,0.958911
2.746920,0.874372,0.962752
2.778494,0.884422,0.965427
2.810068,0.894472,0.974345
2.841642,0.904523,0.977883
2.873215,0.914573,0.984494
2.904789,0.924623,0.984267
2.936363,0.934673,0.988740
2.967937,0.944724,0.991695
2.999511,0.954774,0.992585
3.031084,0.964824,0.997171
3.062658,0.974874,0.998543
3.094232,0.984925,0.999342
3.125806,0.994975,0.999795
3.157380,1.005025,0.999861
3.188953,1.015075,0.999521
3.220527,1.025126,0.998603
3.252101,1.035176,0.997673
3.283675,1.045226,0.995092
3.315249,1.055276,0.991674
3.346822,1.065327,0.985230
3.378396,1.075377,0.985548
3.409970,1.085427,0.981330
3.441544,1.095477,0.977817
3.473118,1.105528,0.978591
3.504691,1.115578,0.967427
3.536265,1.125628,0.961268
3.567839,1.135678,0.944485
3.599413,1.145729,0.949307
3.630986,1.155779,0.939843
3.662560,1.165829,0.933808
3.694134,1.175879,0.931582
3.725708,1.185930,0.910679
3.757282,1.195980,0.903795
3.788855,1.206030,0.894055
3.820429,1.216080,0.894802
3.852003,1.226131,0.869781
3.883577,1.236181,0.877914
3.915151,1.246231,0.853636
3.946724,1.256281,0.830459
3.978298,1.266332,0.842302
4.009872,1.276382,0.827444
4.041446,1.286432,0.810171
4.073020,1.296482,0.802467
4.104593,1.306533,0.798222
4.136167,1.316583,0.771983
4.167741,1.326633,0.768217
4.199315,1.336683,0.741451
4.230889,1.346734,0.739824
4.262462,1.356784,0.703587
4.294036,1.366834,0.710449
4.325610,1.376884,0.691791
4.357184,1.386935,0.666475
4.388758,1.396985,0.670855
4.420331,1.407035,0.642040
4.451905,1.417085,0.616385
4.483479,1.427136,0.629323
4.515053,1.437186,0.596522
4.546627,1.447236,0.580258
4.578200,1.457286,0.559478
4.609774,1.467337,0.563841
4.641348,1.477387,0.548999
4.672922,1.487437,0.514898
4.704496,1.497487,0.501376
4.736069,1.507538,0.486071
4.767643,1.517588,0.469360
4.799217,1.527638,0.463856
4.830791,1.537688,0.439093
4.862365,1.547739,0.422874
4.893938,1.557789,0.417242
4.925512,1.567839,0.376609
4.957086,1.577889,0.374803
4.988660,1.587940,0.375639
5.020233,1.597990,0.342812
5.051807,1.608040,0.343310
5.083381,1.618090,0.312006
5.114955,1.628141,0.294110
5.146529,1.638191,0.297761
5.178102,1.648241,0.267537
5.209676,1.658291,0.258501
5.241250,1.668342,0.241321
5.272824,1.678392,0.219033
5.304398,1.688442,0.223702
5.335971,1.698492,0.214864
5.367545,1.708543,0.203157
5.399119,1.718593,0.190056
5.430693,1.728643,0.172255
5.462267,1.738693,0.157480
5.493840,1.748744,0.146640
5.525414,1.758794,0.131949
5.556988,1.768844,0.126835
5.588562,1.778894,0.107506
5.620136,1.788945,0.108368
5.651709,1.798995,0.081787
5.683283,1.809045,0.084621
5.714857,1.819095,0.084091
5.746431,1.829146,0.076712
5.778005,1.839196,0.060982
5.809578,1.849246,0.056903
5.841152,1.859296,0.045905
5.872726,1.869347,0.040524
5.904300,1.879397,0.036596
5.935874,1.889447,0.033671
5.967447,1.899497,0.030508
5.999021,1.909548,0.022202
6.030595,1.919598,0.014683
6.062169,1.929648,0.012586
6.093743,1.939698,0.012332
6.125316,1.949749,0.006843
6.156890,1.959799,0.004408
6.188464,1.969849,0.004052
6.220038,1.979899,0.001801
6.251612,1.989950,0.001131
6.283185,2.000000,0.001031
